"LABEL-FAPP-info","Name","Value"
"FAPP-info","Profiler version","4.2.5"
"FAPP-info","CSV version","2"
"FAPP-info","Measured time","Sat Jul  9 20:48:12 2022"
"FAPP-info","Type of program","MPI & Thread (OpenMP)  12"
"FAPP-info","Virtual coordinate","1.0.0"
"FAPP-info","Timer clock frequency","100000000"
"FAPP-info","Vector length","512"
"LABEL-FAPP-cpu-freq","Spawn","Process-start","Process-end","Frequency"
"FAPP-cpu-freq","0","0","3","2000"
"LABEL-FAPP-core","Spawn","Process","Thread","Node","CMG","Core"
"FAPP-cpupa","Thread","0","1","11","axhelm_kernel","1","1","8152032","162992905","448049","1200","0","0","0","8","16000","1100925"
"FAPP-cpupa","Process","0","2","-","all","0","12","2064993632","37106408153","5439079","15889","0","0","16","1608345","1785933","2528206327"
"FAPP-cpupa","Thread","0","2","0","all","0","1","470003520","5509989556","460721","2557","0","0","16","1608081","1608063","2515503825"
"FAPP-cpupa","Thread","0","2","1","all","0","1","142137888","2802204031","452578","1212","0","0","0","24","16170","1153969"
"FAPP-cpupa","Thread","0","2","2","all","0","1","148327616","2935077358","452578","1212","0","0","0","24","16170","1156293"
"FAPP-cpupa","Thread","0","2","3","all","0","1","142136960","2823859466","452578","1212","0","0","0","24","16170","1155352"
"FAPP-cpupa","Thread","0","2","4","all","0","1","142132448","2842612364","452578","1212","0","0","0","24","16170","1152576"
"FAPP-cpupa","Thread","0","2","5","all","0","1","155450112","3072132289","452578","1212","0","0","0","24","16170","1157003"
"FAPP-cpupa","Thread","0","2","6","all","0","1","142137312","2818463517","452578","1212","0","0","0","24","16170","1154533"
"FAPP-cpupa","Thread","0","2","7","all","0","1","148160800","2928039654","452578","1212","0","0","0","24","16170","1156063"
"FAPP-cpupa","Thread","0","2","8","all","0","1","147986880","2930071926","452578","1212","0","0","0","24","16170","1155292"
"FAPP-cpupa","Thread","0","2","9","all","0","1","142352960","2826598592","452578","1212","0","0","0","24","16170","1154009"
"FAPP-cpupa","Thread","0","2","10","all","0","1","142080192","2815699307","452578","1212","0","0","0","24","16170","1153741"
"FAPP-cpupa","Thread","0","2","11","all","0","1","142086944","2801660093","452578","1212","0","0","0","24","16170","1153671"
"FAPP-cpupa","Process","0","2","-","axhelm_kernel","1","12","97940768","1958094955","5376588","14400","0","0","0","96","192000","13214175"
"FAPP-cpupa","Thread","0","2","0","axhelm_kernel","1","1","8164448","163203946","448049","1200","0","0","0","8","16000","1104191"
"FAPP-cpupa","Thread","0","2","1","axhelm_kernel","1","1","8163392","163204292","448049","1200","0","0","0","8","16000","1101316"
"FAPP-cpupa","Thread","0","2","2","axhelm_kernel","1","1","8159648","163144252","448049","1200","0","0","0","8","16000","1100978"
"FAPP-cpupa","Thread","0","2","3","axhelm_kernel","1","1","8157152","163094644","448049","1200","0","0","0","8","16000","1100934"
"FAPP-cpupa","Thread","0","2","4","axhelm_kernel","1","1","8163776","163205280","448049","1200","0","0","0","8","16000","1100663"
"FAPP-cpupa","Thread","0","2","5","axhelm_kernel","1","1","8163520","163203881","448049","1200","0","0","0","8","16000","1101140"
"FAPP-cpupa","Thread","0","2","6","axhelm_kernel","1","1","8159552","163143327","448049","1200","0","0","0","8","16000","1100829"
"FAPP-cpupa","Thread","0","2","7","axhelm_kernel","1","1","8159616","163143913","448049","1200","0","0","0","8","16000","1100908"
"FAPP-cpupa","Thread","0","2","8","axhelm_kernel","1","1","8163264","163204661","448049","1200","0","0","0","8","16000","1100705"
"FAPP-cpupa","Thread","0","2","9","axhelm_kernel","1","1","8163392","163203856","448049","1200","0","0","0","8","16000","1100975"
"FAPP-cpupa","Thread","0","2","10","axhelm_kernel","1","1","8163616","163204722","448049","1200","0","0","0","8","16000","1100843"
"FAPP-cpupa","Thread","0","2","11","axhelm_kernel","1","1","8159392","163138181","448049","1200","0","0","0","8","16000","1100693"
